smiles,molecule_chembl_id,pref_name,ic50_nM,pIC50
COc1cc2ncnc(N[C@@H](C)c3ccccc3)c2cc1OCCCCCCC(=O)NO,CHEMBL599218,,2000.0,5.698970004336019
COc1cc2ncnc(N[C@H](C)c3ccccc3)c2cc1OCCCCCCC(=O)NO,CHEMBL605976,,27.8,7.555955204081924
COc1cc2ncnc(N[C@@H](C)c3ccc(F)cc3)c2cc1OCCCCCCC(=O)NO,CHEMBL598406,,175.0,6.756961951313706
COc1cc2ncnc(N[C@@H](C)c3ccc(Cl)cc3)c2cc1OCCCCCCC(=O)NO,CHEMBL598407,,556.9,6.254222782110241
COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCCCC(=O)NO,CHEMBL598610,,71.2,7.147520006363144
C#Cc1cccc(Nc2ncnc3cc(OCCCCCCC(=O)NO)c(OC)cc23)c1,CHEMBL598611,,51.6,7.287350298372789
O=C1CSC(N/N=C/c2cc(Br)ccc2O)=N1,CHEMBL592457,,420.0,6.376750709602099
O=C1CSC(N/N=C/c2cc(Cl)ccc2O)=N1,CHEMBL592480,,1780.0,5.749579997691106
O=C1CSC(N/N=C/c2ccc(Br)cc2)=N1,CHEMBL591910,,2430.0,5.614393726401688
O=C1CSC(N/N=C/c2ccc(Cl)cc2)=N1,CHEMBL589823,,2750.0,5.560667306169737
O=C1CSC(N/N=C/c2cc(F)ccc2O)=N1,CHEMBL602328,,3590.0,5.444905551421681
O=C1CSC(N/N=C/c2cc(Br)cc(Br)c2O)=N1,CHEMBL590875,,3730.0,5.428291168191312
O=C1CSC(N/N=C/c2ccc(F)cc2)=N1,CHEMBL589822,,3890.0,5.410050398674292
O=C1CSC(N/N=C/c2cc(Cl)cc(Cl)c2O)=N1,CHEMBL592481,,4510.0,5.345823458122039
Cc1ccc(/C=N/NC2=NC(=O)CS2)cc1,CHEMBL592707,,5830.0,5.2343314452409855
O=C1CSC(N/N=C/c2ccc(O)cc2)=N1,CHEMBL590876,,6930.0,5.159266765388193
O=C1CSC(N/N=C/c2ccc([N+](=O)[O-])cc2)=N1,CHEMBL604671,,8460.0,5.0726296369609765
COc1ccc(/C=N/NC2=NC(=O)CS2)cc1,CHEMBL592708,,9170.0,5.037630664329979
O=C1CSC(N/N=C/c2cccc(Br)c2)=N1,CHEMBL590524,,10260.0,4.988852639224203
O=C1CSC(N/N=C/c2cccc(Cl)c2)=N1,CHEMBL592139,,14340.0,4.843450848668219
O=C1CSC(N/N=C/c2cccc(F)c2)=N1,CHEMBL590877,,21750.0,4.662540738709344
O=C1CSC(N/N=C/c2cccc(O)c2)=N1,CHEMBL591051,,27830.0,4.555486793665957
O=C1CSC(NN=C2CCCCCCC2)=N1,CHEMBL592240,,31000.0,4.508638306165727
Cc1cccc(/C=N/NC2=NC(=O)CS2)c1,CHEMBL590568,,31780.0,4.497846107128639
