smiles,dsstox_substance_id,casn,chnm,aeid,hitc,modl,coff
C(C(F)(F)F)OS(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,DTXSID60380390,79963-95-4,"2,2,2-Trifluoroethyl perfluorobutanesulfonate",112,3.092656794082756e-14,poly1,0.7755397352445266
CN(CCO)S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,DTXSID7027831,24448-09-7,N-Methyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,112,5.761473488082026e-20,pow,0.7755397352445266
C1(C(OC(C(N1C(F)(F)F)(F)F)(F)F)(F)F)(F)F,DTXSID7059933,382-28-5,Perfluoro(N-methylmorpholine),112,0.0,exp4,0.7755397352445266
C(=O)(C(C(OC(F)(F)F)(F)F)(F)F)O,DTXSID70191136,377-73-1,Perfluoro-3-methoxypropanoic acid,112,1.7223682362839295e-09,poly1,0.7755397352445266
C(CI)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,DTXSID1047578,2043-55-2,"1H,1H,2H,2H-Perfluorohexyl iodide",112,1.2398411135191119e-15,poly1,0.7755397352445266
C(=N)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)N,DTXSID70381151,307-31-3,Perfluorooctanamidine,112,3.0997158964094793e-08,poly1,0.7755397352445266
C[Si](C)(C)C(C(C(F)(F)F)(F)F)(F)F,DTXSID70400078,3834-42-2,(Heptafluoropropyl)trimethylsilane,112,1.85360525241931e-14,poly1,0.7755397352445266
COC(=O)C(C(OC(C(OC(=C(F)F)F)(F)F)(C(F)(F)F)F)(F)F)(F)F,DTXSID8044969,63863-43-4,Methyl perfluoro(3-(1-ethenyloxypropan-2-yloxy)propanoate),112,3.7970104732383845e-12,poly1,0.7755397352445266
C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,DTXSID6062599,2706-90-3,Perfluoropentanoic acid,112,9.151801638737445e-09,poly1,0.7755397352445266
C(CC(C(C(F)(F)F)(F)F)(F)F)C(=O)O,DTXSID00379268,356-02-5,3:3 Fluorotelomer carboxylic acid,112,0.0,exp4,0.7755397352445266
C(CP(=O)(O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,DTXSID20179883,252237-40-4,2-(Perfluorohexyl)ethylphosphonic acid,112,4.992113854437582e-08,pow,0.7755397352445266
CC(=C)C(=O)OCC(C(C(F)(F)F)(F)F)(F)F,DTXSID3065586,13695-31-3,(Perfluoropropyl)methyl methacrylate,112,3.1748173307821156e-08,pow,0.7755397352445266
C(=C(F)F)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,DTXSID40204489,559-14-8,Perfluorooct-1-ene,112,5.942934936099392e-14,poly1,0.7755397352445266
C(=O)(C1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)F)F,DTXSID80379781,6588-63-2,Perfluorocyclohexanecarbonyl fluoride,112,1.5209431685118802e-15,poly1,0.7755397352445266
C=CC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,DTXSID7074616,21652-58-4,"1H,1H,2H-Perfluoro-1-decene",112,0.0,exp4,0.7755397352445266
C(CI)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,DTXSID9061881,1682-31-1,"1-Iodo-1H,1H,2H,2H-perfluoroheptane",112,5.7532321781942464e-08,poly1,0.7755397352445266
C(CS(=O)(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,DTXSID6067331,27619-97-2,6:2 Fluorotelomer sulfonic acid,112,4.7242055197170595e-12,poly1,0.7755397352445266
C(CP(=O)(O)O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,DTXSID30627108,80220-63-9,((Perfluorooctyl)ethyl)phosphonic acid,112,7.20987172099827e-11,poly1,0.7755397352445266
