dsstox_substance_id,casn,chnm,aeid,hitc,modl,coff
DTXSID3066215,17587-22-3,(Heptafluorobutanoyl)pivaloylmethane,115,8.434376940208749e-12,poly1,0.8553064962601256
DTXSID60195123,423-54-1,Perfluorooctanamide,115,1.2992798481979352e-09,poly1,0.8553064962601256
DTXSID0059794,307-34-6,Perfluorooctane,115,3.2012846776395104e-09,poly1,0.8553064962601256
DTXSID00192353,39108-34-4,8:2 Fluorotelomer sulfonic acid,115,1.9838547877701928e-16,poly1,0.8553064962601256
DTXSID20881338,132182-92-4,3-Methoxyperfluoro(2-methylpentane),115,1.9116487335998813e-12,poly1,0.8553064962601256
DTXSID20337446,34143-74-3,2-(Perfluorooctyl)ethanthiol,115,1.5628514820144893e-10,poly1,0.8553064962601256
DTXSID9059834,338-83-0,Perfluamine,115,3.5179768251992612e-06,poly1,0.8553064962601256
DTXSID90174941,20825-07-4,"3H,3H-Perfluoro-2,4-hexanedione",115,1.8313953327723183e-07,poly1,0.8553064962601256
DTXSID50229163,78560-45-9,Trichloro((perfluorohexyl)ethyl)silane,115,2.1691751036480649e-10,poly1,0.8553064962601256
DTXSID80379721,2264-01-9,"1H,1H,6H,6H-Perfluorohexane-1,6-diol diacrylate",115,1.1012104336031805e-08,poly1,0.8553064962601256
DTXSID0047583,423-39-2,Nonafluoro-1-iodobutane,115,1.2528606719095275e-16,poly1,0.8553064962601256
DTXSID30382104,865-79-2,9-Chloro-perfluorononanoic acid,115,3.893013554219268e-11,poly1,0.8553064962601256
DTXSID6061022,699-30-9,Perfluorosuccinic anhydride,115,2.4165734229121073e-08,poly1,0.8553064962601256
DTXSID3059921,376-06-7,Perfluorotetradecanoic acid,115,3.1471504777517196e-10,poly1,0.8553064962601256
DTXSID50469320,41997-13-1,Perfluorohexanesulfonamide,115,8.647698767004509e-08,poly1,0.8553064962601256
DTXSID8059920,375-92-8,Perfluoroheptanesulfonic acid,115,6.203433078830186e-15,poly1,0.8553064962601256
DTXSID7061982,1805-22-7,Perfluoromethylcyclopentane,115,2.643742422283869e-10,poly1,0.8553064962601256
DTXSID8059970,422-64-0,Perfluoropropanoic acid,115,3.744662372571398e-12,poly1,0.8553064962601256
DTXSID4059833,336-08-3,Perfluorohexanedioic acid,115,3.718906901099003e-17,poly1,0.8553064962601256
DTXSID40380797,147492-57-7,"1H,1H-Perfluoro-3,6,9-trioxadecan-1-ol",115,9.021545199142844e-12,poly1,0.8553064962601256
DTXSID5067348,27905-45-9,2-(Perfluorooctyl)ethyl acrylate,115,4.7085372732858735e-17,poly1,0.8553064962601256
DTXSID4059912,374-98-1,Heptafluorobutyl iodide,115,3.565409998380991e-15,poly1,0.8553064962601256
DTXSID60892443,2806-15-7,Sodium perfluorodecanesulfonate,115,1.1303170777251091e-11,poly1,0.8553064962601256
DTXSID8044969,63863-43-4,Methyl perfluoro(3-(1-ethenyloxypropan-2-yloxy)propanoate),115,1.469933332168336e-11,poly1,0.8553064962601256
DTXSID30382104,865-79-2,9-Chloro-perfluorononanoic acid,115,3.0688675904989684e-08,poly1,0.8553064962601256
DTXSID8059926,376-73-8,Perfluoropentanedioic acid,115,4.762398785804927e-13,poly1,0.8553064962601256
